"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
"3","increasing",1048576,123456,1,"drake",2,208.772689
"3","increasing",4194304,123456,1,"parallel",1,763.869881
"3","increasing",4194304,123456,1,"parallel",2,762.213660
"3","increasing",4194304,123456,1,"drake",1,848.499795
"3","increasing",4194304,123456,1,"drake",2,849.671387
"3","increasing",16777216,123456,1,"parallel",1,3165.881105
"3","increasing",16777216,123456,1,"parallel",2,3175.342769
"3","increasing",16777216,123456,1,"drake",1,3385.921985
"3","increasing",16777216,123456,1,"drake",2,3558.008941
"3","decreasing",1048576,123456,1,"parallel",1,192.006585
"3","decreasing",1048576,123456,1,"parallel",2,194.517097
"3","decreasing",1048576,123456,1,"drake",1,238.083977
"3","decreasing",1048576,123456,1,"drake",2,224.886060
"3","decreasing",4194304,123456,1,"parallel",1,764.786604
"3","decreasing",4194304,123456,1,"parallel",2,769.291862
"3","decreasing",4194304,123456,1,"drake",1,910.822630
"3","decreasing",4194304,123456,1,"drake",2,919.309501
"3","decreasing",16777216,123456,1,"parallel",1,3162.942618
"3","decreasing",16777216,123456,1,"parallel",2,3229.075995
"3","decreasing",16777216,123456,1,"drake",1,3583.993762
"3","decreasing",16777216,123456,1,"drake",2,3587.244108
"3","constant",1048576,123456,1,"parallel",1,32.106160
"3","constant",1048576,123456,1,"parallel",2,32.253182
"3","constant",1048576,123456,1,"drake",1,156.313966
"3","constant",1048576,123456,1,"drake",2,158.331503
"3","constant",4194304,123456,1,"parallel",1,108.457067
"3","constant",4194304,123456,1,"parallel",2,108.768975
"3","constant",4194304,123456,1,"drake",1,619.375473
"3","constant",4194304,123456,1,"drake",2,619.342017
"3","constant",16777216,123456,1,"parallel",1,396.020047
"3","constant",16777216,123456,1,"parallel",2,393.064729
"3","constant",16777216,123456,1,"drake",1,2449.505210
"3","constant",16777216,123456,1,"drake",2,2437.487966
"4","uniform-random",1048576,123456,1,"parallel",1,285.681812
"4","uniform-random",1048576,123456,1,"parallel",2,283.916690
"4","uniform-random",1048576,123456,1,"drake",1,297.600151
"4","uniform-random",1048576,123456,1,"drake",2,299.965070
"4","uniform-random",1048576,123456,2,"parallel",1,284.777986
"4","uniform-random",1048576,123456,2,"parallel",2,289.714215
"4","uniform-random",1048576,123456,2,"drake",1,300.675270
"4","uniform-random",1048576,123456,2,"drake",2,303.820555
"4","uniform-random",4194304,123456,1,"parallel",1,1191.867921
"4","uniform-random",4194304,123456,1,"parallel",2,1199.586932
"4","uniform-random",4194304,123456,1,"drake",1,1186.448511
"4","uniform-random",4194304,123456,2,"parallel",1,1190.899260
"4","uniform-random",4194304,123456,2,"parallel",2,1191.682079
"4","uniform-random",4194304,123456,2,"drake",2,1192.023811
"4","uniform-random",16777216,123456,1,"parallel",1,4803.340754
"4","uniform-random",16777216,123456,1,"parallel",2,4735.628106
"4","uniform-random",16777216,123456,1,"drake",1,4543.059843
"4","uniform-random",16777216,123456,1,"drake",2,4539.322607
"4","uniform-random",16777216,123456,2,"parallel",1,4780.081737
"4","uniform-random",16777216,123456,2,"parallel",2,4729.594062
"4","uniform-random",16777216,123456,2,"drake",1,4648.565083
"4","uniform-random",16777216,123456,2,"drake",2,4666.622483
"4","increasing",1048576,123456,1,"parallel",1,162.150770
"4","increasing",1048576,123456,1,"parallel",2,158.176770
"4","increasing",1048576,123456,1,"drake",1,231.021309
"4","increasing",1048576,123456,1,"drake",2,232.771296
"4","increasing",4194304,123456,1,"parallel",1,643.592233
"4","increasing",4194304,123456,1,"parallel",2,639.229392
"4","increasing",4194304,123456,1,"drake",1,907.806677
"4","increasing",4194304,123456,1,"drake",2,899.668126
"4","increasing",16777216,123456,1,"parallel",1,2695.254419
"4","increasing",16777216,123456,1,"parallel",2,2651.791017
"4","increasing",16777216,123456,1,"drake",1,3560.031109
"4","increasing",16777216,123456,1,"drake",2,3539.056539
"4","decreasing",1048576,123456,1,"parallel",1,157.830898
"4","decreasing",1048576,123456,1,"parallel",2,154.664617
"4","decreasing",1048576,123456,1,"drake",1,232.584407
"4","decreasing",1048576,123456,1,"drake",2,225.249075
"4","decreasing",4194304,123456,1,"parallel",1,638.542811
"4","decreasing",4194304,123456,1,"parallel",2,645.953752
"4","decreasing",4194304,123456,1,"drake",1,924.542673
"4","decreasing",4194304,123456,1,"drake",2,901.556602
"4","decreasing",16777216,123456,1,"parallel",1,2644.571740
"4","decreasing",16777216,123456,1,"parallel",2,2641.739082
"4","decreasing",16777216,123456,1,"drake",1,3581.211679
"4","decreasing",16777216,123456,1,"drake",2,3759.662764
"4","constant",1048576,123456,1,"parallel",1,27.925168
"4","constant",1048576,123456,1,"parallel",2,28.812601
"4","constant",1048576,123456,1,"drake",1,138.452967
"4","constant",1048576,123456,1,"drake",2,134.810918
"4","constant",4194304,123456,1,"parallel",1,96.637920
"4","constant",4194304,123456,1,"parallel",2,99.347203
"4","constant",4194304,123456,1,"drake",1,569.964281
"4","constant",4194304,123456,1,"drake",2,541.814227
"4","constant",16777216,123456,1,"parallel",1,359.430842
"4","constant",16777216,123456,1,"parallel",2,365.750241
"4","constant",16777216,123456,1,"drake",1,2217.985884
"4","constant",16777216,123456,1,"drake",2,2215.275360
"seq","uniform-random",1048576,123456,1,"parallel",1,290.889128
"seq","uniform-random",1048576,123456,1,"parallel",2,289.141480
"seq","uniform-random",1048576,123456,1,"drake",1,668.846742
"seq","uniform-random",1048576,123456,1,"drake",2,660.183106
"seq","uniform-random",1048576,123456,2,"parallel",1,291.215459
"seq","uniform-random",1048576,123456,2,"parallel",2,291.446968
"seq","uniform-random",1048576,123456,2,"drake",1,661.978002
"seq","uniform-random",1048576,123456,2,"drake",2,661.598348
"seq","uniform-random",4194304,123456,1,"parallel",1,1236.835347
"seq","uniform-random",4194304,123456,1,"parallel",2,1256.757338
"seq","uniform-random",4194304,123456,1,"drake",1,2614.135485
"seq","uniform-random",4194304,123456,1,"drake",2,2614.315805
"seq","uniform-random",4194304,123456,2,"parallel",1,1235.680336
"seq","uniform-random",4194304,123456,2,"parallel",2,1262.745181
"seq","uniform-random",4194304,123456,2,"drake",1,2743.659174
"seq","uniform-random",4194304,123456,2,"drake",2,2613.600367
"seq","uniform-random",16777216,123456,1,"parallel",1,4774.571129
"seq","uniform-random",16777216,123456,1,"parallel",2,4831.321773
"seq","uniform-random",16777216,123456,1,"drake",1,10306.369939
"seq","uniform-random",16777216,123456,1,"drake",2,10119.801429
"seq","uniform-random",16777216,123456,2,"parallel",1,4910.024811
"seq","uniform-random",16777216,123456,2,"parallel",2,4783.605651
"seq","uniform-random",16777216,123456,2,"drake",1,10036.014144
"seq","uniform-random",16777216,123456,2,"drake",2,10006.251313
"seq","increasing",1048576,123456,1,"parallel",1,163.798738
"seq","increasing",1048576,123456,1,"parallel",2,170.879162
"seq","increasing",1048576,123456,1,"drake",1,444.448770
"seq","increasing",1048576,123456,1,"drake",2,446.686990
"seq","increasing",4194304,123456,1,"parallel",1,691.630330
"seq","increasing",4194304,123456,1,"parallel",2,695.753822
"seq","increasing",4194304,123456,1,"drake",1,1820.262624
"seq","increasing",4194304,123456,1,"drake",2,1830.063914
"seq","increasing",16777216,123456,1,"parallel",1,2819.756602
"seq","increasing",16777216,123456,1,"parallel",2,2859.078118
"seq","increasing",16777216,123456,1,"drake",1,6716.259967
"seq","increasing",16777216,123456,1,"drake",2,6784.442210
"seq","decreasing",1048576,123456,1,"parallel",1,166.195137
"seq","decreasing",1048576,123456,1,"parallel",2,166.665011
"seq","decreasing",1048576,123456,1,"drake",1,448.535179
"seq","decreasing",1048576,123456,1,"drake",2,448.197108
"seq","decreasing",4194304,123456,1,"parallel",1,708.461650
"seq","decreasing",4194304,123456,1,"parallel",2,694.232410
"seq","decreasing",4194304,123456,1,"drake",1,1802.348726
"seq","decreasing",4194304,123456,1,"drake",2,1802.393939
