"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,0.6,-1,1,3,0,3,1,38287,113983368,38287,149507518,38287,113837347,38287,211796676
256,500,375,-2,0.6,-1,1,3,0,3,2,38287,114081034,38287,211705834,38287,113837347,38287,211796676
256,500,375,-2,0.6,-1,1,3,0,3,3,38287,114044290,38287,150743038,38287,113837347,38287,211796676
256,500,375,-2,0.6,-1,1,3,0,4,1,38287,294046446,38287,329785335,38287,293915695,38287,392076799
256,500,375,-2,0.6,-1,1,3,0,4,2,38287,294050247,38287,391988948,38287,293915695,38287,392076799
256,500,375,-2,0.6,-1,1,3,0,4,3,38287,294117640,38287,330982167,38287,293915695,38287,392076799
256,500,375,-2,0.6,-1,1,3,0,5,1,38287,472808203,38287,510785271,38287,472538716,38287,573021825
256,500,375,-2,0.6,-1,1,3,0,5,2,38287,472749010,38287,572927474,38287,472538716,38287,573021825
256,500,375,-2,0.6,-1,1,3,0,5,3,38287,472812863,38287,511934865,38287,472538716,38287,573021825
256,500,375,-2,0.6,-1,1,3,0,6,1,38287,654609794,38287,690083570,38287,654391801,38287,752329433
256,500,375,-2,0.6,-1,1,3,0,6,2,38287,654537208,38287,752246335,38287,654391801,38287,752329433
256,500,375,-2,0.6,-1,1,3,0,6,3,38287,654608543,38287,691237008,38287,654391801,38287,752329433
256,500,375,-2,0.6,-1,1,3,0,7,1,38287,834631456,38287,871841030,38287,834555552,38287,934317157
256,500,375,-2,0.6,-1,1,3,0,7,2,38287,834610526,38287,934229364,38287,834555552,38287,934317157
256,500,375,-2,0.6,-1,1,3,0,7,3,38287,834614577,38287,873022003,38287,834555552,38287,934317157
256,500,375,-2,0.6,-1,1,3,0,8,1,38288,11102206,38288,49825141,38288,10875243,38288,112109431
256,500,375,-2,0.6,-1,1,3,0,8,2,38288,11106995,38288,112017687,38288,10875243,38288,112109431
256,500,375,-2,0.6,-1,1,3,0,8,3,38288,11034717,38288,50930394,38288,10875243,38288,112109431
256,500,375,-2,0.6,-1,1,3,0,9,1,38288,184048844,38288,224068327,38288,183761557,38288,286328701
256,500,375,-2,0.6,-1,1,3,0,9,2,38288,184055123,38288,286250067,38288,183761557,38288,286328701
256,500,375,-2,0.6,-1,1,3,0,9,3,38288,184016280,38288,225218857,38288,183761557,38288,286328701
256,500,375,-2,0.6,-1,1,3,0,10,1,38288,361524350,38288,398828863,38288,361314191,38288,461076087
256,500,375,-2,0.6,-1,1,3,0,10,2,38288,361489969,38288,460989246,38288,361314191,38288,461076087
256,500,375,-2,0.6,-1,1,3,0,10,3,38288,361557480,38288,399988887,38288,361314191,38288,461076087
256,500,375,-2,0.6,-1,1,3,2,1,1,38289,439984539,38289,608193318,38289,439868576,38289,608282235
256,500,375,-2,0.6,-1,1,3,2,1,2,38289,440025197,38289,440025335,38289,439868576,38289,608282235
256,500,375,-2,0.6,-1,1,3,2,1,3,38289,440018908,38289,440019026,38289,439868576,38289,608282235
256,500,375,-2,0.6,-1,1,3,2,2,1,38289,685271605,38289,854616776,38289,685120021,38289,854703601
256,500,375,-2,0.6,-1,1,3,2,2,2,38289,685340517,38289,685340652,38289,685120021,38289,854703601
256,500,375,-2,0.6,-1,1,3,2,2,3,38289,685278156,38289,685278276,38289,685120021,38289,854703601
256,500,375,-2,0.6,-1,1,3,2,3,1,38289,933888821,38290,98714707,38289,933650462,38290,98797861
256,500,375,-2,0.6,-1,1,3,2,3,2,38289,933824145,38289,933824330,38289,933650462,38290,98797861
256,500,375,-2,0.6,-1,1,3,2,3,3,38289,933894386,38289,933894504,38289,933650462,38290,98797861
256,500,375,-2,0.6,-1,1,3,2,4,1,38290,177661089,38290,341718471,38290,177482504,38290,341799789
256,500,375,-2,0.6,-1,1,3,2,4,2,38290,177733090,38290,177733203,38290,177482504,38290,341799789
256,500,375,-2,0.6,-1,1,3,2,4,3,38290,177728325,38290,177728438,38290,177482504,38290,341799789
256,500,375,-2,0.6,-1,1,3,2,5,1,38290,419403836,38290,587616799,38290,419225499,38290,587699185
256,500,375,-2,0.6,-1,1,3,2,5,2,38290,419476870,38290,419477003,38290,419225499,38290,587699185
256,500,375,-2,0.6,-1,1,3,2,5,3,38290,419434519,38290,419434656,38290,419225499,38290,587699185
256,500,375,-2,0.6,-1,1,3,2,6,1,38290,666220100,38290,833457078,38290,666053344,38290,833538512
256,500,375,-2,0.6,-1,1,3,2,6,2,38290,666252882,38290,666253002,38290,666053344,38290,833538512
